District,Crop,N_kg/ha,P_kg/ha,K_kg/ha,Zn_Sulfate_kg/ha,Soil_OC_%,N_Explanation,P_Explanation,K_Explanation,Zn_Explanation
SBS Nagar,Arhar,15.0,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Sangrur,Wheat,120.0,60.0,40.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sangrur,Rice,120.0,60.0,40.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sangrur,Maize,150.0,60.0,40.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sangrur,Bajra,60.0,30.0,20.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sangrur,Moong,20.0,40.0,20.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sangrur,Arhar,20.0,60.0,40.0,5.0,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Shaheed Bhagat Singh Nagar,Wheat,90.0,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Rice,90.0,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Maize,112.5,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Bajra,45.0,22.5,15.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Moong,15.0,30.0,15.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Arhar,15.0,45.0,30.0,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Sri Muktsar Sahib,Wheat,120.0,60.0,40.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Rice,120.0,60.0,40.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Maize,150.0,60.0,40.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Bajra,60.0,30.0,20.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Moong,20.0,40.0,20.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Arhar,20.0,60.0,40.0,5.0,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Tarn Taran,Wheat,90.0,45.0,30.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Rice,90.0,45.0,30.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Maize,112.5,45.0,30.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Bajra,45.0,22.5,15.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Moong,15.0,30.0,15.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Arhar,15.0,45.0,30.0,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
