District,Crop,DAP_bags_per_acre,Urea_bags_per_acre,MOP_bags_per_acre,Zinc_Sulfate_bags_per_acre,Soil_OC_%,N_Explanation,P_Explanation,K_Explanation,Zn_Explanation
Sangrur,Arhar,2.49,0.0,0.65,0.04,0.3,Nitrogen is low (180) → Apply full dose,Phosphorus is low (10) → Apply full dose,Potassium is low (120) → Apply full dose,Zinc is deficient (0.4 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Shaheed Bhagat Singh Nagar,Wheat,1.83,0.11,0.49,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Rice,1.83,0.11,0.49,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Maize,1.83,0.51,0.49,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Bajra,0.92,0.05,0.24,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Moong,1.22,0.0,0.24,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Shaheed Bhagat Singh Nagar,Arhar,1.83,0.0,0.49,0.0,0.48,Nitrogen is medium (250) → Apply 75% dose,Phosphorus is medium (20) → Apply 75% dose,Potassium is medium (190) → Apply 75% dose,Zinc is sufficient (0.8 ppm) → No Zn needed
Sri Muktsar Sahib,Wheat,2.49,0.11,0.65,0.04,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Rice,2.49,0.11,0.65,0.04,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Maize,2.49,0.64,0.65,0.04,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Bajra,1.22,0.07,0.32,0.04,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Moong,1.63,0.0,0.32,0.04,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Sri Muktsar Sahib,Arhar,2.49,0.0,0.65,0.04,0.32,Nitrogen is low (190) → Apply full dose,Phosphorus is low (11) → Apply full dose,Potassium is low (130) → Apply full dose,Zinc is deficient (0.5 ppm < 0.6) → Apply 5 kg/ha Zinc Sulfate
Tarn Taran,Wheat,1.83,0.11,0.49,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Rice,1.83,0.11,0.49,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Maize,1.83,0.51,0.49,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Bajra,0.92,0.05,0.24,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Moong,1.22,0.0,0.24,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
Tarn Taran,Arhar,1.83,0.0,0.49,0.0,0.52,Nitrogen is medium (270) → Apply 75% dose,Phosphorus is medium (24) → Apply 75% dose,Potassium is medium (210) → Apply 75% dose,Zinc is sufficient (0.9 ppm) → No Zn needed
